room_no,status,course_id,capacity,projector,ac,computer,desks,whiteboard,count ,type
306,,,120,1,4,0,,,,Class
313,,,120,1,4,0,,,,Class
341,,,120,1,4,0,,,,Class
328,,,60,1,2,0,,,,Class
329,,,60,1,2,0,,,,Class
330,,,60,1,2,0,,,,Class
331,,,60,1,2,0,,,,Class
332,,,60,1,2,0,,,,Class
333,,,60,1,2,0,,,,Class
334,,,30,1,1,0,,,,Class
336,,,30,1,1,0,,,,Class
338,,,30,1,1,0,,,,Class
339,,,30,1,1,0,,,,Class
337,,,30,1,1,0,,,,Class
305,,,30,1,1,0,,,,Class
314,,,30,1,1,0,,,,Class
335,,,30,1,1,0,,,,Class
406,,,120,1,4,0,,,,Class
409,,,120,1,4,0,,,,Class
430,,,120,1,4,0,,,,Class
432,,,120,1,4,0,,,,Class
440,,,120,1,4,0,,,,Class
431,,,60,1,2,0,,,,Class
405,,,30,1,1,0,,,,Class
410,,,30,1,1,0,,,,Class
433,,,30,1,1,0,,,,Class
434,,,30,1,1,0,,,,Class
435,,,30,1,1,0,,,,Class
436,,,30,1,1,0,,,,Class
437,,,30,1,1,0,,,,Class
438,,,30,1,1,0,,,,Class
325,,,60,1,1,30,,,,Lab
324,,,60,1,1,60,,,,Lab
353,,,60,1,1,90,,,,Lab
322,,,60,1,1,,,,,Lab
346,,,60,1,1,60,,,,Lab
326,,,60,1,1,30,,,,Lab
327,,,60,1,1,30,,,,Lab
356,,,30,1,1,10,,,,Lab
354,,,30,1,1,,,,,Lab
421,,,60,1,1,60,,,,Lab
420,,,60,1,1,30,,,,Lab
413,,,60,1,1,,,,,Lab
453,,,60,1,1,,,,,Lab
445,,,60,1,1,,,,,Lab
446,,,60,1,1,,,,,Lab
449,,,60,1,1,,,,,Lab
407,,,60,1,1,,,,,Lab
408,,,60,1,1,,,,,Lab
450,,,60,1,1,70,,,,Lab
